01 Air	1	10,11
Unwilling/Coerced Recruit	Organization	15	10,11
Willing Recruit	Organization	16	10,11
Religious or Religious Organization	Organization	17	10,11
Targeted Individual or Organization	Organization	18	10,11
Terrorist or Terrorist Organization	Organization	19	10,11
Speaker	Organization	20	10,11
Accident	Composite Loss	21	10,11
Combat	Composite Loss	22	10,11
Other	Composite Loss	23	10,11
Loot	Crime	24	10,11
Hijacker	Crime	25	11
Cyberspace	Capability	26	11
11 Land civilian unit/organization	2	10,11
Unspecified		0	10,11
Leader or Leadership	Organization	1	10,11
Cyberspace	Capability	2	11
15 Land Equipment	1	10,11
Unspecified		0	10,11
Biological	Sensor Type	1	10,11
Chemical	Sensor Type	2	10,11
Early Warning Radar	Sensor Type	3	10,11
Intrusion	Sensor Type	4	10,11
Nuclear	Sensor Type	5	10,11
Radiological	Sensor Type	6	10,11
Upgraded Early Warning Radar	Sensor Type	7	10,11
Hijacking/Hijacked	Crime	8	10,11
Civilian	Organization	9	10,11
Tilt-Rotor	Capability	10	10,11
Multi-purpose Blade	Capability	12	10,11
Tank-width Mine Plow	Capability	13	10,11
Bridge	Capability	14	10,11
Cyberspace	Capability	15	11
Armored	Capability	16	10,11
Attack	Capability	17	10,11
Cargo	Capability	18	10,11
Maintenance	Capability	19	10,11
MedEvac	Capability	20	10,11
"Petroleum, oil, and lubricants (POL)"	Capability	21	10,11
Utility	Capability	22	10,11
Water	Capability	23	10,11
Robotic	Capability	24	11
15 Land Equipment	2	10,11
Unspecified		0	10,11
Cyberspace	Capability	1	11
Light	Capability	2	10,11
Medium	Capability	3	10,11
Railway	Capability	4	10,11
Tracked	Capability	5	10,11
Tractor Trailer	Capability	6	10,11
Wheeled LTD	Capability	7	10,11
Wheeled X	Capability	8	10,11
Robotic	Capability	9	11
20 Land Installations	1	10,11
Unspecified		0	10,11
Biological	CBRN Type	1	10,11
Chemical	CBRN Type	2	10,11
Nuclear	CBRN Type	3	10,11
Radiological	CBRN Type	4	10,11
Decontamination	CBRN Type	5	10,11
Coal	Electric Power Type	6	10,11
Geothermal	Electric Power Type	7	10,11
Hydroelectric	Electric Power Type	8	10,11
Natural Gas	Electric Power Type	9	10,11
Petroleum	Electric Power Type	10	10,11
Civilian	Operation	11	10,11
Civilian Telephone	Telecommunication Type	12	10,11
Civilian Television	Telecommunication Type	13	10,11
Cyberspace	Capability	14	11
Retransmission Site	Telecommunications Type	14	10
Joint Network Node	Telecommunication Type	13	10
Command Post Node	Telecommunication Type	13	10
20 Land Installations	2	10,11
Unspecified		0	10,11
Biological Warfare Production	Capability	1	10,11
Chemical Warfare Production	Capability	2	10,11
Nuclear Warfare Production	Capability	3	10,11
Radiological Warfare Production	Capability	4	10,11
Atomic Energy Reactor	Capability	5	10,11
Nuclear Material Production	Capability	6	10,11
Nuclear Material Storage	Capability	7	10,11
Weapons Grade Production	Capability	8	10,11
Cyberspace	Capability	9	11
25 Control Measure	1	10,11
Unspecified		0	10,11
Wheeled limited cross country	Mobility	1	10,11
Wheeled cross country	Mobility	2	10,11
Tracked	Mobility	3	10,11
Wheeled and tracked combination	Mobility	4	10,11
Towed	Mobility	5	10,11
Rail	Mobility	6	10,11
Pack Animals	Mobility	7	10,11
No Vehicles	Mobility	8	10,11
Over snow (prime mover)	Mobility	9	10,11
Sled	Mobility	10	10,11
Barge	Mobility	11	10,11
Amphibious	Mobility	12	10,11
Unspecified Mine	Obstacles	13	10,11
Antipersonnel Mine	Obstacles	14	10,11
Antipersonnel Mine with Directional Effects	Obstacles	15	10,11
Antitank Mine	Obstacles	16	10,11
Antitank Mine with Antihandling Device	Obstacles	17	10,11
Wide Area Antitank Mine	Obstacles	18	10,11
Mine Cluster	Obstacles	19	10,11
Antipersonnel Mine and Antipersonnel Mine with Directional Effects	Obstacles	20	10,11
Antipersonnel Mine and Antitank Mine	Obstacles	21	10,11
Antipersonnel Mine and Antitank Mine with Antihandling Device	Obstacles	22	10,11
Antipersonnel Mine and Wide Area Antitank Mine	Obstacles	23	10,11
Antipersonnel Mine and Mine Cluster	Obstacles	24	10,11
Antipersonnel Mine with Directional Effects and Antitank Mine	Obstacles	25	10,11
Antipersonnel Mine with Directional Effects and Antitank Mine with Antihandling Device	Obstacles	26	10,11
Antipersonnel Mine with Directional Effects and Wide Area Antitank Mine	Obstacles	27	10,11
Antipersonnel Mine with Directional Effects and Mine Cluster	Obstacles	28	10,11
Antitank Mine and Antitank Mine with Antihandling Device	Obstacles	29	10,11
Antitank Mine and Wide Area Antitank Mine	Obstacles	30	10,11
Antitank Mine and Mine Cluster	Obstacles	31	10,11
Antitank Mine with Antihandling Device and Wide Area Antitank Mine	Obstacles	32	10,11
Antitank Mine with Antihandling Device and Mine Cluster	Obstacles	33	10,11
Wide Area Antitank Mine and Mine Cluster	Obstacles	34	10,11
"Antipersonnel Mine, Antipersonnel Mine with Directional Effects, and Antitank Mine"	Obstacles	35	10,11
"Antipersonnel Mine, Antipersonnel Mine with Directional Effects, and Antitank Mine with Antihandling Device"	Obstacles	36	10,11
"Antipersonnel Mine, Antipersonnel Mine with Directional Effects, and Wide Area Antitank Mine"	Obstacles	37	10,11
"Antipersonnel Mine, Antipersonnel Mine with Directional Effects, and Mine Cluster"	Obstacles	38	10,11
"Antipersonnel Mine, Antitank Mine, and Antitank Mine with Antihandling Device"	Obstacles	39	10,11
"Antipersonnel Mine, Antitank Mine, and Wide Area Antitank Mine"	Obstacles	40	10,11
"Antipersonnel Mine, Antitank Mine, and Mine Cluster"	Obstacles	41	10,11
"Antipersonnel Mine, Antitank Mine with Antihandling Device, and Wide Area Antitank Mine"	Obstacles	42	10,11
"Antipersonnel Mine, Antitank Mine with Antihandling Device, and Mine Cluster"	Obstacles	43	10,11
"Antipersonnel Mine, Wide Area Antitank Mine, and Mine Cluster"	Obstacles	44	10,11
"Antipersonnel Mine with Directional Effects, Antitank Mine, and Antitank Mine with Antihandling Device"	Obstacles	45	10,11
"Antipersonnel Mine with Directional Effects, Antitank Mine, and Wide Area Antitank Mine"	Obstacles	46	10,11
"Antipersonnel Mine with Directional Effects, Antitank Mine, and Mine Cluster"	Obstacles	47	10,11
"Antipersonnel Mine with Directional Effects, Antitank Mine with Antihandling Device, and Wide Area Antitank Mine"	Obstacles	48	10,11
"Antipersonnel Mine with Directional Effects, Antitank Mine with Antihandling Device, and Mine Cluster"	Obstacles	49	10,11
"Antipersonnel Mine with Directional Effects, Wide Area Antitank Mine, and Mine Cluster"	Obstacles	50	10,11
27 Dismounted Individual	1	10
Unspecified		0	10
Close Protection		1	10
Crowd and Riot Control		2	10
Explosive Ordnance Disposal (EOD)		3	10
Security		4	10
Sniper		5	10
Special Weapons and Tactics		6	10
Non-Governmental Organization Member		7	10
Multinational		8	10
Multinational Specialized Unit		9	10
Government Organization Member		10	10
Video Imagery (Combat Camera)		11	10
Functional Staff Area J1		12	10
Functional Staff Area J2		13	10
Functional Staff Area J3		14	10
Functional Staff Area J4		15	10
Functional Staff Area J5		16	10
Functional Staff Area J6		17	10
Functional Staff Area J7		18	10
Functional Staff Area J8		19	10
Functional Staff Area J9		20	10
Rank OF-1		21	10
Rank OF-2		22	10
Rank OF-3		23	10
Rank OF-4		24	10
Rank OF-5		25	10
Rank OF-6		26	10
Rank OF-7		27	10
Rank OF-8		28	10
Rank OF-9		29	10
Rank OF-10		30	10
Rank OF-D		31	10
Rank OR-1		32	10
Rank OR-2		33	10
Rank OR-3		34	10
Rank OR-4		35	10
Rank OR-5		36	10
Rank OR-6		37	10
Rank OR-7		38	10
Rank OR-8		39	10
Rank OR-9		40	10
Rank WO-1		41	10
Rank WO-2		42	10
Rank WO-3		43	10
Rank WO-4		44	10
Rank WO-5		45	10
Individual		46	10
Team/Crew		47	10
Squad		48	10
