00 Common	1	15,16
Antipersonnel Mine with Directional Effects and Antitank Mine with Antihandling Device	Obstacles	26	15,16
Antipersonnel Mine with Directional Effects and Wide Area Antitank Mine	Obstacles	27	15,16
Antipersonnel Mine with Directional Effects and Mine Cluster	Obstacles	28	15,16
Antitank Mine and Antitank Mine with Antihandling Device	Obstacles	29	15,16
Antitank Mine and Wide Area Antitank Mine	Obstacles	30	15,16
Antitank Mine and Mine Cluster	Obstacles	31	15,16
Antitank Mine with Antihandling Device and Wide Area Antitank Mine	Obstacles	32	15,16
Antitank Mine with Antihandling Device and Mine Cluster	Obstacles	33	15,16
Wide Area Antitank Mine and Mine Cluster	Obstacles	34	15,16
Antipersonnel Mine, Antipersonnel Mine with Directional Effects, and Antitank Mine	Obstacles	35	15,16
Antipersonnel Mine, Antipersonnel Mine with Directional Effects, and Antitank Mine with Antihandling Device	Obstacles	36	15,16
Antipersonnel Mine, Antipersonnel Mine with Directional Effects, and Wide Area Antitank Mine	Obstacles	37	15,16
Antipersonnel Mine, Antipersonnel Mine with Directional Effects, and Mine Cluster	Obstacles	38	15,16
Antipersonnel Mine, Antitank Mine, and Antitank Mine with Antihandling Device	Obstacles	39	15,16
Antipersonnel Mine, Antitank Mine, and Wide Area Antitank Mine	Obstacles	40	15,16
Antipersonnel Mine, Antitank Mine, and Mine Cluster	Obstacles	41	15,16
Antipersonnel Mine, Antitank Mine with Antihandling Device, and Wide Area Antitank Mine	Obstacles	42	15,16
Antipersonnel Mine, Antitank Mine with Antihandling Device, and Mine Cluster	Obstacles	43	15,16
Antipersonnel Mine, Wide Area Antitank Mine, and Mine Cluster	Obstacles	44	15,16
Antipersonnel Mine with Directional Effects, Antitank Mine, and Antitank Mine with Antihandling Device	Obstacles	45	15,16
Antipersonnel Mine with Directional Effects, Antitank Mine, and Wide Area Antitank Mine	Obstacles	46	15,16
Antipersonnel Mine with Directional Effects, Antitank Mine, and Mine Cluster	Obstacles	47	15,16
Antipersonnel Mine with Directional Effects, Antitank Mine with Antihandling Device, and Wide Area Antitank Mine	Obstacles	48	15,16
Antipersonnel Mine with Directional Effects, Antitank Mine with Antihandling Device, and Mine Cluster	Obstacles	49	15,16
Antipersonnel Mine with Directional Effects, Wide Area Antitank Mine, and Mine Cluster	Obstacles	50	15,16
25 Control Measures	2	15,16
Unspecified		0	15,16
27 Dismounted Individual	1	15,16
Unspecified		0	15,16
Field Artillery Observer		11	15,16
Joint Fire Support		12	15,16
Liaison		13	15,16
Messenger		14	15,16
Military Police		15	15,16
Observer		16	15,16
Designated Marksman		17	15,16
Signaler		20	15,16
Reconnaissance		21	15,16
Infantry		22	15,16
Commander (CDR)		23	15,16
Second in Command (SIC)		24	15,16
Demolition		25	15,16
Police		26	15,16
Individual		46	15,16
27 Dismounted Individual	2	15,16
Unspecified		0	15,16
Video Imagery (Combat Camera)		3	15,16
Functional Staff Area J1		4	15,16
Functional Staff Area J2		5	15,16
Functional Staff Area J3		6	15,16
Functional Staff Area J4		7	15,16
Functional Staff Area J5		8	15,16
Functional Staff Area J6		9	15,16
Functional Staff Area J7		10	15,16
Functional Staff Area J8		11	15,16
Functional Staff Area J9		12	15,16
Functional Staff Area J10		12	16
Rank O-1/O-2		14	15
Rank O-3		15	15
Rank O-4		16	15
Rank O-5		17	15
Rank O-6		18	15
Rank O-7		19	15
Rank O-8		20	15
Rank O-9		21	15
Rank O-10		22	15
Rank O-11		23	15
Rank E-1		25	15
Rank E-2		26	15
Rank E-3		27	15
Rank E-4		28	15
Rank E-5		29	15
Rank E-6		30	15
Rank E-7		31	15
